date,open,high,low,close,volume,0,1,2,3,4
2001-05-16/00:00:00,24.0,24.0,24.0,24.0,2159.0,,,,,
2001-05-17/00:00:00,25.0,25.0,25.0,25.0,1079.0,,,,,
2001-05-20/00:00:00,25.33,25.33,25.33,25.33,899.0,,,,,
2001-05-21/00:00:00,25.33,25.33,25.33,25.33,179.0,,,,,
2001-05-29/00:00:00,25.33,25.33,25.33,25.33,119.0,,,,,
2001-06-12/00:00:00,25.33,25.33,25.33,25.33,179.0,,,,,
2001-12-30/00:00:00,25.33,25.33,25.33,25.33,1199.0,,,,,
2002-07-10/00:00:00,25.33,25.33,25.33,25.33,239.0,,,,,
2003-01-15/00:00:00,25.33,25.33,25.33,25.33,119.0,,,,,
2003-05-18/00:00:00,25.33,25.33,25.33,25.33,1499.0,,,,,
2003-05-29/00:00:00,25.33,25.33,25.33,25.33,1199.0,,,,,
2003-06-04/00:00:00,25.33,25.33,25.33,25.33,119.0,,,,,
2003-06-15/00:00:00,25.33,25.33,25.33,25.33,899.0,,,,,
2003-06-18/00:00:00,25.33,25.33,25.33,25.33,959.0,,,,,
2003-07-13/00:00:00,25.33,25.33,25.33,25.33,59.0,,,,,
2003-08-17/00:00:00,25.33,25.33,25.33,25.33,299.0,,,,,
2003-08-19/00:00:00,25.33,25.33,25.33,25.33,479.0,,,,,
2003-08-21/00:00:00,25.33,25.33,25.33,25.33,599.0,,,,,
2003-09-10/00:00:00,25.33,25.33,25.33,25.33,599.0,,,,,
2004-02-19/00:00:00,25.33,25.33,25.33,25.33,599.0,,,,,
2004-02-24/00:00:00,25.34,25.34,25.34,25.34,599.0,,,,,
2004-02-25/00:00:00,25.33,25.34,25.33,25.34,119.0,,,,,
2004-03-17/00:00:00,25.33,25.33,25.33,25.33,1739.0,,,,,
2004-05-05/00:00:00,25.33,25.33,25.33,25.33,539.0,,,,,
2004-06-16/00:00:00,25.33,25.33,25.33,25.33,299.0,,,,,
2004-10-05/00:00:00,23.33,23.33,23.33,23.33,299.0,,,,,
2005-08-07/00:00:00,22.5,22.5,22.5,22.5,120.0,,,,,
2006-02-12/00:00:00,22.5,22.5,22.5,22.5,180.0,,,,,
2006-02-22/00:00:00,22.5,22.5,22.5,22.5,120.0,,,,,
2006-03-08/00:00:00,22.5,22.5,22.5,22.5,60.0,,,,,
2006-06-08/00:00:00,22.5,22.5,22.5,22.5,300.0,,,,,
2006-07-24/00:00:00,22.5,22.5,22.5,22.5,120.0,,,,,
2007-05-10/00:00:00,21.38,21.38,21.38,21.38,300.0,,,,,
2007-05-15/00:00:00,22.4,22.44,22.4,22.42,100.0,,,,,
2007-05-16/00:00:00,23.54,23.54,23.54,23.54,100.0,,,,,
2007-05-21/00:00:00,24.71,24.71,24.71,24.71,110.0,,,,,
2007-05-28/00:00:00,25.94,25.94,25.94,25.94,110.0,,,,,
2007-06-04/00:00:00,27.23,27.23,27.23,27.23,110.0,,,,,
2007-07-10/00:00:00,25.87,25.87,25.87,25.87,150.0,,,,,
